address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,voting_power,timestamp,author_ipfs_hash,reason
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,,1,,,,,28.242543097518148,1698468201,bafkreicycv3syzckgdlqdytnfq6pcdm27wmc6sousoo7sf2m7mrr4edujm,""
0xb115aFF9Ce430feF6fCDe91099A377795a4319BF,,5,,2,,1,8.57309969506268,1698547517,bafkreih3e67n6zhwiueqazydfvhckk5leftjhfef3ockwldo6tffdyey54,""
0x894b87dfB9e79082d2D0Ac7c16cE40658afd42D1,,80,20,,,,4.431732826404144,1698556549,bafkreifecp3ib4z2qeggjfduwq3dbsw4khhhd5m63t6uhaign7p56vpqg4,""
0x58B9Cba4015C2f33705080682489956981E8B213,,,,,1,,0.7343061205354718,1698564371,bafkreigkdt7q6v75ckcnn3letnplddcvc6y2zljyjpt3ol6spa7yjdd72y,""
0x6780ac060FdcBA20AE02A6197c84Bdc70CF8716B,,1,,,,,20.08008743817072,1698572178,bafkreigdnxl76j2p5audc2ddk7yqhc4gwrezpj3aqo3d72zghniwfeur2q,""
0xb8145A317275E2B20A78a7615e2fCbaEcC90Bf28,,,,2,,,1.3838846117783892,1698609979,bafkreibvhvqutjrtpxddf3jzk7khtyqoswsxv75kyhrh526e55en6r4ba4,""
0x3B15CEc2d922Ab0Ef74688bcC1056461049f89CB,,3,2,3,3,3,0.5445142720113504,1698610664,bafkreidk6r3cigoyjxsnrlutbhlkmzqpgqwcijsov44i3rx4jvmcmcn5ve,""
0x3295e39F9Ea9Db98929B52f076acb7D1535A23Cb,,1,,1,,,2.8242543097518147,1698637512,bafkreieysl3jtr55ighqnrtk57rr227a6pwromihrmoju6egk4el6fl56e,""
0xD619F816156EFfABF9dDab313cff6b46cad3Fbdd,,1,1,,1,,0.034649470969243756,1698643565,bafkreigyhtqurezasrllwp5gee7wpi7cprwv5qzo5gkwknh4zqj7lna7vu,""
0x2951B1F7058bd2C05F01954002C450BaC0873847,1,,,,,,0.028242543097518148,1698645422,bafkreifqg5nmgdnm3oiwhxcnhgixvocz567mh22axrbmcnineq4q5kboea,""
0x2f463642fa60CB1f1fd1c57af25B34b7a9A99586,,,,,1,,73.10125288048019,1698653990,bafkreib63q2yloqlbtebr3m6djjj5akef6f4ldlna2khikn5ko36wvlg6q,""
0x9d560c8963e8758C1dBf9BeD87D0ff17764b1cA4,,1,,,,,1.7197284845924081,1698659210,bafkreiaykm3kd2n6wjl7en4anuqph2smw2g7j6zi7z3glflgy2pinuwajy,""
0x34cd8a21E92b0Abd558Ff02D6cc7a9e12DAf0ff1,,1,,,,,0.8472762929255444,1698675488,bafkreibsiqn5ldzueuzcrclz5a3phakcxuzwuloehnu2a5gvhu6fbrhtxq,""
0x9adcdC109dc88ADC2E1493829e1bdf59635A4692,,1,1,,,,0.983021821928405,1698675511,bafkreicofl7wb3ihuksyaeyxax7vtye4ac4fafjlk4pc6ebzp2dfivlgzm,""
0x8Ff8aBa1C8bd3c607a650D15ff1E3662aac92B4B,,100,,,,,0.25035257685397205,1698681711,bafkreibycaucuoa5ilvfspyju5qex2ke3fbve2f3r3i7kbnbaux6p2ean4,""
0x470FdE0dE20c6590CaE7036AA7DABe5dbe5d0fd6,,,,100,,,0.5648508619503629,1698686994,bafkreichqb6cir444l6rejuoa7cjonfbtylgetlmo7o4ohzn2c3n3q3oda,""
0x04Df798edaDe87D112a9B89E671f991A0661a24E,,20,,60,,20,2.8242543097518147,1698687849,bafkreifz5qzs63wqj6k4vdaxtoazcaz7iv42hj33ipghg6tdy2xdixbx6u,""
0xEa04a9Fe2CEf51B504e7da8cf1b859454AE27030,1,,,,,,3.9539560336525406,1698699702,bafkreibhyc4zkwc2zez6lclfh3pjmnevze647t5znm2baoswxj6hrtaz7m,""
0x7115b222b2CcdE533A27A75D3E8629832E6DC1e3,,6,6,3,6,5,6.017633738472946,1698706819,bafkreigzmk6iyre727oyxagire4ta4mtooyono2lwlncychwi3ymelkzza,""
0x7C0B689A3003e0DBd2d37Ce15e8a2273d91bd7F6,1,,,,,,0.7463589917042346,1698712051,bafkreidccgit6443tepybw2gr6ozdyaqechcm3mksk26hrwfdkiemfholm,""
0xdAb4cc54a8BeA0cd7833c9a453E7F4C996b3D100,,25,25,25,5,20,4.369537123786586,1698718891,bafkreidkifl6clc25ddz34ite4p2vzh3mwusdmbo2vpowyaojadwpyakou,""
0x19636BF1F0bB0e813D316A73Cc91f03153b6Db41,1,,,,,,1.1297017239007259,1698723371,bafkreibxyw54rs4mcyxdjpsp6jr4ozu3rvymqubjglobwqdut6ccs5ce3i,""
0x2120783b3794Aba5A099328b0c0b8BDdaDc250A0,,1,,,,,0.10816791357942088,1698795435,bafkreih7ymrjnb4dx3lisyz2ob7pkcaqm2ca4dghyaja53ixis2agb43xa,""
0x7AAEE144a14Ec3ba0E468C9Dcf4a89Fdb62C5AA6,,1,,,,,1.6945525858510888,1698806032,bafkreigkje6wzilwmxilp6e5gfeppisria5wrdqgbmqvjdwcgzcb45js6y,""
